,gameId
319,KR_5567472208
320,KR_5567416790
321,KR_5567287066
322,KR_5567321739
323,KR_5567224563
324,KR_5566893037
325,KR_5566661952
326,KR_5566474800
327,KR_5566419062
328,KR_5566442123
329,KR_5565397808
330,KR_5565336408
331,KR_5565384492
332,KR_5565353427
333,KR_5565311893
334,KR_5565247923
335,KR_5565263377
336,KR_5565149867
337,KR_5565068836
338,KR_5565061001
339,KR_5564921525
340,KR_5564851389
341,KR_5564714651
342,KR_5564588211
343,KR_5564610550
344,KR_5564491774
345,KR_5564312147
346,KR_5564123559
347,KR_5563179239
348,KR_5563187374
349,KR_5563206106
350,KR_5568984238
351,KR_5568902898
352,KR_5568805528
353,KR_5568707122
354,KR_5568547424
355,KR_5568582469
356,KR_5568079417
357,KR_5568004324
358,KR_5567859885
359,KR_5567561338
360,KR_5567495351
361,KR_5567490455
362,KR_5567241380
363,KR_5566938087
364,KR_5566843594
365,KR_5566671370
366,KR_5565261134
367,KR_5565104767
368,KR_5564987331
369,KR_5564959445
370,KR_5564914570
371,KR_5564806389
372,KR_5564718440
373,KR_5564732062
374,KR_5564651883
375,KR_5564495498
376,KR_5564366432
377,KR_5563180940
378,KR_5563088042
379,KR_5563122485
380,KR_5562917936
381,KR_5562370709
382,KR_5562283470
383,KR_5562184233
384,KR_5562086550
385,KR_5561062849
386,KR_5561011430
387,KR_5560987180
388,KR_5560877603
389,KR_5560532365
390,KR_5560292820
391,KR_5560105748
392,KR_5559883599
393,KR_5559807554
394,KR_5559733675
395,KR_5559034483
396,KR_5559052375
397,KR_5559000710
398,KR_5558875897
399,KR_5558799433
400,KR_5600779467
401,KR_5600768765
402,KR_5600755846
403,KR_5600723242
404,KR_5600382458
405,KR_5600343854
406,KR_5600197736
407,KR_5600180194
408,KR_5599479926
409,KR_5599434959
410,KR_5599441864
411,KR_5599319749
412,KR_5599171827
413,KR_5599089247
414,KR_5597356164
415,KR_5585829992
416,KR_5584871550
417,KR_5584698864
418,KR_5584587826
419,KR_5584573252
420,KR_5584560515
421,KR_5584475170
422,KR_5562214313
423,KR_5562129152
424,KR_5562123008
425,KR_5562017579
426,KR_5562004635
427,KR_5561938106
428,KR_5561964005
429,KR_5561757455
430,KR_5561407237
431,KR_5561511753
432,KR_5561386279
433,KR_5561073385
434,KR_5561061287
435,KR_5560978127
436,KR_5560975095
437,KR_5560941683
438,KR_5560807823
439,KR_5560880992
440,KR_5560776352
441,KR_5560629792
442,KR_5560623093
443,KR_5560460174
444,KR_5560213946
445,KR_5559967811
446,KR_5559785091
447,KR_5559772108
448,KR_5559702648
449,KR_5559577652
450,KR_5601149597
451,KR_5601156236
452,KR_5600779467
453,KR_5600780815
454,KR_5600755846
455,KR_5600712536
456,KR_5600675472
457,KR_5599498639
458,KR_5599408113
459,KR_5599451347
460,KR_5599319749
461,KR_5599144167
462,KR_5599171827
463,KR_5599091238
464,KR_5599066547
465,KR_5599024679
466,KR_5597689522
467,KR_5597693746
468,KR_5597613930
469,KR_5597403209
470,KR_5597430598
471,KR_5597368314
472,KR_5597327910
473,KR_5597276314
474,KR_5595246352
475,KR_5593581236
476,KR_5593383151
477,KR_5593264084
478,KR_5593134328
479,KR_5593009407
480,KR_5592897890
481,KR_5592759300
482,KR_5592802791
483,KR_5590338856
484,KR_5590291900
485,KR_5590224418
486,KR_5590210668
487,KR_5589870456
488,KR_5589737090
489,KR_5589119408
490,KR_5587439200
491,KR_5587427358
492,KR_5587048499
493,KR_5587061265
494,KR_5586137982
495,KR_5585950813
496,KR_5585828902
497,KR_5585863617
498,KR_5585851341
499,KR_5585697944
500,KR_5565794485
501,KR_5565790695
502,KR_5563827288
503,KR_5561737350
504,KR_5561692989
505,KR_5559670999
506,KR_5559578622
507,KR_5556015209
508,KR_5555929907
509,KR_5549942238
510,KR_5549705410
511,KR_5549475280
512,KR_5543609539
513,KR_5543587140
514,KR_5540557811
515,KR_5540265731
516,KR_5539971931
517,KR_5539886003
518,KR_5532520579
519,KR_5532495190
520,KR_5532461943
521,KR_5532386646
522,KR_5528252452
523,KR_5528154151
524,KR_5528039589
525,KR_5522235377
526,KR_5522221571
527,KR_5522098456
528,KR_5519014097
529,KR_5519001673
530,KR_5516250914
531,KR_5516144867
532,KR_5513959433
533,KR_5508826631
534,KR_5508803524
535,KR_5506285379
536,KR_5506231311
537,KR_5506163643
538,KR_5497025550
539,KR_5495607397
540,KR_5495604401
541,KR_5495538213
542,KR_5495543632
543,KR_5495472499
544,KR_5484336857
545,KR_5484272767
546,KR_5484117702
547,KR_5484055863
548,KR_5484062710
549,KR_5480807273
550,KR_5599338665
551,KR_5596986778
552,KR_5595991043
553,KR_5595667569
554,KR_5595684261
555,KR_5595589319
556,KR_5595514955
557,KR_5593186226
558,KR_5593048271
559,KR_5591888060
560,KR_5591901134
561,KR_5591746245
562,KR_5590653387
563,KR_5590505612
564,KR_5590450464
565,KR_5590443410
566,KR_5590332078
567,KR_5590197038
568,KR_5590065631
569,KR_5590009084
570,KR_5589884529
571,KR_5589749975
572,KR_5589763248
573,KR_5589670889
574,KR_5589437906
575,KR_5589465447
576,KR_5589001886
577,KR_5588711957
578,KR_5586315834
579,KR_5586219318
580,KR_5586255135
581,KR_5586201184
582,KR_5586166591
583,KR_5586113181
584,KR_5586160127
585,KR_5583198879
586,KR_5582960560
587,KR_5582835938
588,KR_5582863081
589,KR_5582177644
590,KR_5582152435
591,KR_5582021199
592,KR_5581808594
593,KR_5581698531
594,KR_5581549804
595,KR_5581466737
596,KR_5581266437
597,KR_5576108273
598,KR_5576120427
599,KR_5576057042
600,KR_5600779467
601,KR_5600780815
602,KR_5599837179
603,KR_5599833996
604,KR_5596264854
605,KR_5595291083
606,KR_5595037564
607,KR_5594822013
608,KR_5594742118
609,KR_5593194064
610,KR_5592929999
611,KR_5590653387
612,KR_5590494696
613,KR_5590033893
614,KR_5589949153
615,KR_5588555079
616,KR_5588398702
617,KR_5588384198
618,KR_5588088598
619,KR_5587994759
620,KR_5587901770
621,KR_5587517833
622,KR_5587564945
623,KR_5587543600
624,KR_5587439200
625,KR_5587463789
626,KR_5587328537
627,KR_5587244940
628,KR_5587154678
629,KR_5587015703
630,KR_5586897956
631,KR_5579038666
632,KR_5575757454
633,KR_5575695877
634,KR_5572656049
635,KR_5572650906
636,KR_5556086886
637,KR_5555225903
638,KR_5555117245
639,KR_5554981824
640,KR_5554913085
641,KR_5554833087
642,KR_5554693535
643,KR_5554529108
644,KR_5554455634
645,KR_5554356587
646,KR_5554420577
647,KR_5554107414
648,KR_5554015547
649,KR_5553369446
650,KR_5600851745
651,KR_5600811422
652,KR_5600748229
653,KR_5600705039
654,KR_5600638647
655,KR_5600507261
656,KR_5600417758
657,KR_5600336983
658,KR_5600257852
659,KR_5600203387
660,KR_5600140509
661,KR_5600025278
662,KR_5600030318
663,KR_5598918436
664,KR_5598953260
665,KR_5598814650
666,KR_5598782004
667,KR_5598615972
668,KR_5598498137
669,KR_5598490520
670,KR_5598443127
671,KR_5598265278
672,KR_5597284200
673,KR_5597260479
674,KR_5597165494
675,KR_5597009632
676,KR_5596938399
677,KR_5596769802
678,KR_5596770109
679,KR_5596565411
680,KR_5596570222
681,KR_5595565700
682,KR_5595438188
683,KR_5595352023
684,KR_5595270433
685,KR_5595123673
686,KR_5594991897
687,KR_5594824339
688,KR_5593750804
689,KR_5593569175
690,KR_5593576273
691,KR_5593553139
692,KR_5593347757
693,KR_5593320101
694,KR_5593194064
695,KR_5593081197
696,KR_5592833580
697,KR_5592764183
698,KR_5592533720
